run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
37032,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",mfi_oversold,"{""window"": 10, ""threshold"": 23}",1d,2022-08-01,2026-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,55,55,0.0,10000.0,10000.0,no_trades,,13.7,2026-02-24T19:45:33.291096
37033,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",mfi_oversold,"{""window"": 19, ""threshold"": 9}",1d,2022-08-01,2026-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,55,55,0.0,10000.0,10000.0,no_trades,,14.31,2026-02-24T19:45:46.993795
37034,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",mfi_oversold,"{""window"": 23, ""threshold"": 9}",1d,2022-08-01,2026-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,55,55,0.0,10000.0,10000.0,no_trades,,15.47,2026-02-24T19:46:01.304142
37035,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bearish,"{""window"": 255}",1d,2022-08-01,2026-02-15,2,1.0,41.1279,3.5061,0.0,0.0,0.0,999999999999.99,50.1445,0.111412,0.111145,2,0,30,55,619.74,10000.0,10619.7358105464,ok,,58.59,2026-02-24T19:46:16.778616
37036,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bearish,"{""window"": 121}",1d,2022-08-01,2026-02-15,4,0.75,45.5691,3.4086,0.0,1.3801,33.0175,5.9752,56.6571,0.123059,0.123114,3,1,19,55,686.66,10000.0,10686.6581865948,ok,,21.32,2026-02-24T19:47:15.371041
37037,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bearish,"{""window"": 184}",1d,2022-08-01,2026-02-15,3,1.0,56.1876,4.3152,0.0,0.0,0.0,999999999999.99,73.211,0.150618,0.149996,3,0,30,55,846.66,10000.0,10846.6619569586,ok,,39.72,2026-02-24T19:47:36.690937
37038,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bearish,"{""window"": 247}",1d,2022-08-01,2026-02-15,2,1.0,41.1279,3.5061,0.0,0.0,0.0,999999999999.99,50.1445,0.111412,0.111145,2,0,30,55,619.74,10000.0,10619.7358105464,ok,,56.65,2026-02-24T19:48:16.409994
37039,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bearish,"{""window"": 268}",1d,2022-08-01,2026-02-15,2,1.0,41.1279,3.5061,0.0,0.0,0.0,999999999999.99,50.1445,0.111412,0.111145,2,0,30,55,619.74,10000.0,10619.7358105464,ok,,58.75,2026-02-24T19:49:13.064583
37040,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bullish,"{""window"": 255}",1d,2022-08-01,2026-02-15,8,0.25,-25.3552,-1.9344,-1.3129,4.6288,-5.4777,0.514,-23.1496,-0.072114,-0.06854,2,3,43,55,-382.06,10000.0,9617.93541075665,ok,,55.36,2026-02-24T19:50:11.811829
37041,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bullish,"{""window"": 142}",1d,2022-08-01,2026-02-15,8,0.25,-24.7398,-1.868,-1.2787,5.7421,-4.3085,0.5302,-22.6474,-0.07033,-0.066751,1,3,46,55,-372.79,10000.0,9627.20855571205,ok,,25.25,2026-02-24T19:51:07.170662
37042,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bullish,"{""window"": 163}",1d,2022-08-01,2026-02-15,7,0.1429,-38.1063,-3.296,-2.0229,5.7421,-6.6364,0.2608,-32.9485,-0.109449,-0.105603,1,3,55,55,-574.21,10000.0,9425.794992219002,ok,,34.06,2026-02-24T19:51:32.425602
37043,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bullish,"{""window"": 289}",1d,2022-08-01,2026-02-15,8,0.25,-25.3552,-1.9344,-1.3129,4.6288,-5.4777,0.514,-23.1496,-0.072114,-0.06854,2,3,43,55,-382.06,10000.0,9617.93541075665,ok,,65.32,2026-02-24T19:52:06.483376
37044,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",nvi_bullish,"{""window"": 311}",1d,2022-08-01,2026-02-15,8,0.25,-25.3552,-1.9344,-1.3129,4.6288,-5.4777,0.514,-23.1496,-0.072114,-0.06854,2,3,43,55,-382.06,10000.0,9617.93541075665,ok,,71.66,2026-02-24T19:53:11.799084
37045,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",obv_bearish,"{""window"": 20}",1d,2022-08-01,2026-02-15,3,0.3333,6.8906,0.6436,4.8987,1.4937,4.6132,1.3565,7.2316,0.019131,0.020582,1,1,35,55,103.83,10000.0,10103.8315091042,ok,,14.53,2026-02-24T19:54:23.458462
37046,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",obv_bearish,"{""window"": 5}",1d,2022-08-01,2026-02-15,4,0.25,-14.8688,-1.7366,-13.4843,2.918,-5.0955,0.4812,-14.2011,-0.041954,-0.04023,1,2,30,55,-224.05,10000.0,9775.95010843705,ok,,15.16,2026-02-24T19:54:37.984300
37047,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",obv_bearish,"{""window"": 12}",1d,2022-08-01,2026-02-15,2,0.0,-18.7733,-3.6755,-15.7553,2.8289,-6.6364,0.0,-17.6315,-0.053127,-0.051802,0,2,55,55,-282.89,10000.0,9717.114001733,ok,,15.7,2026-02-24T19:54:53.142769
37048,BTC,wma_cross_up,"{""window_fast"": 22, ""window_slow"": 100}",obv_bearish,"{""window"": 29}",1d,2022-08-01,2026-02-15,3,0.3333,-5.3501,-0.6687,-3.3178,1.4937,-3.5819,0.7205,-5.3243,-0.014989,-0.01394,1,1,30,55,-80.62,10000.0,9919.3817466765,ok,,13.77,2026-02-24T19:55:08.847270
