run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
215864,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",eom_bullish,"{""window"": 19, ""threshold"": 26.3158}",5m,2026-02-01,2026-02-16,192,0.224,-3.6399,-1.0461,-1.0202,5.4654,-0.666,0.6859,-3.6452,-0.010173,-0.009977,7,42,329,336,-335.07,10000.0,9664.93019608415,ok,,19.79,2026-02-25T02:51:50.372769
215865,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bearish,"{""window"": 13, ""threshold"": 0.0}",5m,2026-02-01,2026-02-16,18,0.3889,0.8742,1.0716,0.644,0.511,1.7107,2.3522,0.8771,0.002393,0.002395,2,4,96,336,80.47,10000.0,10080.47457726535,ok,,18.78,2026-02-25T02:52:10.165286
215866,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bearish,"{""window"": 8, ""threshold"": 26.3158}",5m,2026-02-01,2026-02-16,27,0.2963,0.5041,0.5435,0.364,0.5912,0.8527,1.4598,0.5057,0.001382,0.00139,2,7,177,336,46.41,10000.0,10046.405584832353,ok,,18.09,2026-02-25T02:52:28.949934
215867,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bearish,"{""window"": 22, ""threshold"": 63.1579}",5m,2026-02-01,2026-02-16,41,0.1951,-1.3894,-1.2599,-0.6563,1.8638,-0.7455,0.5457,-1.3927,-0.003842,-0.003814,3,14,336,336,-127.9,10000.0,9872.099854504293,ok,,17.5,2026-02-25T02:52:47.035549
215868,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bearish,"{""window"": 25, ""threshold"": 78.9474}",5m,2026-02-01,2026-02-16,47,0.1064,-1.9638,-1.7145,-0.8098,2.184,-0.8992,0.3945,-1.968,-0.005446,-0.005411,2,21,324,336,-180.78,10000.0,9819.224301500552,ok,,16.77,2026-02-25T02:53:04.532880
215869,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bearish,"{""window"": 25, ""threshold"": 100.0}",5m,2026-02-01,2026-02-16,53,0.1509,-1.9011,-1.4309,-0.6619,2.4623,-0.7721,0.4756,-1.9053,-0.00527,-0.00523,3,23,324,336,-175.01,10000.0,9824.99078538045,ok,,16.31,2026-02-25T02:53:21.302645
215870,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bullish,"{""window"": 13, ""threshold"": 0.0}",5m,2026-02-01,2026-02-16,213,0.2113,-4.661,-1.2716,-1.2086,6.3235,-0.7371,0.6301,-4.6658,-0.01309,-0.012865,7,49,329,336,-429.06,10000.0,9570.935106680497,ok,,19.78,2026-02-25T02:53:37.616791
215871,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bullish,"{""window"": 14, ""threshold"": 10.5263}",5m,2026-02-01,2026-02-16,211,0.2133,-4.6033,-1.2562,-1.1917,6.2716,-0.734,0.6331,-4.6082,-0.012924,-0.0127,7,47,329,336,-423.75,10000.0,9576.245492670496,ok,,19.87,2026-02-25T02:53:57.398499
215872,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bullish,"{""window"": 18, ""threshold"": 10.5263}",5m,2026-02-01,2026-02-16,212,0.2217,-4.2515,-1.1583,-1.108,6.181,-0.6878,0.6589,-4.2566,-0.011917,-0.011696,7,46,329,336,-391.37,10000.0,9608.631894540482,ok,,19.74,2026-02-25T02:54:17.267303
215873,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bullish,"{""window"": 18, ""threshold"": 94.7368}",5m,2026-02-01,2026-02-16,186,0.2419,-2.7652,-0.8038,-0.8016,4.9294,-0.561,0.7436,-2.7702,-0.007697,-0.007515,7,34,329,336,-254.55,10000.0,9745.451904971416,ok,,17.18,2026-02-25T02:54:37.004099
215874,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",force_bullish,"{""window"": 27, ""threshold"": 89.4737}",5m,2026-02-01,2026-02-16,180,0.2556,-2.1205,-0.6284,-0.6346,4.7638,-0.4451,0.7947,-2.125,-0.005885,-0.005717,7,28,329,336,-195.21,10000.0,9804.793245874593,ok,,18.74,2026-02-25T02:54:54.180842
215875,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bearish,"{""window_tenkan"": 9, ""window_kijun"": 26, ""window_senkou"": 52}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,17.95,2026-02-25T02:55:12.917768
215876,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bearish,"{""window_tenkan"": 8, ""window_kijun"": 24, ""window_senkou"": 49}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,17.31,2026-02-25T02:55:30.863346
215877,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bearish,"{""window_tenkan"": 11, ""window_kijun"": 39, ""window_senkou"": 38}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,17.75,2026-02-25T02:55:48.172332
215878,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bearish,"{""window_tenkan"": 16, ""window_kijun"": 28, ""window_senkou"": 41}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,17.47,2026-02-25T02:56:05.925152
215879,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bearish,"{""window_tenkan"": 20, ""window_kijun"": 31, ""window_senkou"": 41}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,17.71,2026-02-25T02:56:23.392663
215880,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bullish,"{""window_tenkan"": 9, ""window_kijun"": 26, ""window_senkou"": 52}",5m,2026-02-01,2026-02-16,187,0.246,-1.2173,-0.3692,-0.3779,4.8635,-0.2503,0.8653,-1.2204,-0.003364,-0.003216,11,37,329,336,-112.06,10000.0,9887.9374013411,ok,,18.07,2026-02-25T02:56:41.105897
215881,SOL,rsi_cross_up,"{""window"": 33, ""threshold"": 58}",ichimoku_bullish,"{""window_tenkan"": 11, ""window_kijun"": 39, ""window_senkou"": 36}",5m,2026-02-01,2026-02-16,236,0.2373,-1.9841,-0.5215,-0.5361,5.7414,-0.3456,0.8223,-1.9884,-0.005502,-0.005334,9,53,329,336,-182.64,10000.0,9817.356276905855,ok,,18.61,2026-02-25T02:56:59.180313
