run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
60920,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",obv_bullish,"{""window"": 20}",4h,2024-01-01,2026-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,775,775,0.0,10000.0,10000.0,no_trades,,9.05,2026-02-25T02:32:14.208945
60921,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",obv_bullish,"{""window"": 26}",4h,2024-01-01,2026-02-01,200,0.405,12.9643,1.1054,0.8669,12.1211,1.0696,1.6755,12.9821,0.033446,0.035229,16,22,218,775,2954.16,10000.0,12954.161558309193,ok,,34.44,2026-02-25T02:32:23.258493
60922,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",obv_bullish,"{""window"": 38}",4h,2024-01-01,2026-02-01,178,0.3315,2.4325,0.2968,0.2057,11.8645,0.205,1.1296,2.4356,0.006593,0.007845,6,13,378,775,523.54,10000.0,10523.54393874047,ok,,32.42,2026-02-25T02:32:57.703419
60923,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",obv_bullish,"{""window"": 41}",4h,2024-01-01,2026-02-01,202,0.297,2.0717,0.2564,0.1893,11.5836,0.1788,1.1085,2.0744,0.005625,0.00694,6,19,420,775,445.01,10000.0,10445.007270825696,ok,,31.63,2026-02-25T02:33:30.128008
60924,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",obv_bullish,"{""window"": 50}",4h,2024-01-01,2026-02-01,184,0.3533,8.1172,0.8202,0.6908,6.9924,1.1609,1.4628,8.1281,0.021412,0.022766,6,14,243,775,1802.36,10000.0,11802.356477908103,ok,,30.01,2026-02-25T02:34:01.755244
60925,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",price_above_ema,"{""window"": 20}",4h,2024-01-01,2026-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,775,775,0.0,10000.0,10000.0,no_trades,,8.84,2026-02-25T02:34:31.768060
60926,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",price_above_ema,"{""window"": 75}",4h,2024-01-01,2026-02-01,196,0.3622,13.4014,1.2367,1.244,7.1093,1.8851,1.7338,13.4198,0.034506,0.035979,6,20,185,775,3060.82,10000.0,13060.817731306714,ok,,31.31,2026-02-25T02:34:40.609322
60927,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",price_above_ema,"{""window"": 106}",4h,2024-01-01,2026-02-01,170,0.3765,13.6105,1.2575,1.1703,7.8114,1.7424,1.8084,13.6292,0.035012,0.036473,6,14,185,775,3112.01,10000.0,13112.014629692996,ok,,31.48,2026-02-25T02:35:11.917329
60928,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",price_above_ema,"{""window"": 137}",4h,2024-01-01,2026-02-01,158,0.3418,7.896,0.7802,0.5791,9.4843,0.8325,1.4555,7.9066,0.02085,0.02229,6,16,272,775,1751.14,10000.0,11751.142878445,ok,,30.66,2026-02-25T02:35:43.395795
60929,ETH,ppo_bullish_cross,"{""window_slow"": 17, ""window_fast"": 10, ""window_sign"": 8}",price_above_ema,"{""window"": 190}",4h,2024-01-01,2026-02-01,162,0.3765,10.9403,1.0397,0.8272,7.8226,1.3986,1.6325,10.9552,0.028485,0.029937,6,20,425,775,2466.3,10000.0,12466.303373891651,ok,,28.73,2026-02-25T02:36:14.060205
