run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
74400,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bearish,"{""window"": 20}",30m,2025-07-04,2026-02-12,288,0.2917,0.2161,0.0769,0.0816,12.8165,0.0169,1.0069,0.2165,0.000593,0.002323,10,26,343,472,27.95,10000.0,10027.951354378449,ok,,63.57,2026-02-24T07:12:04.512655
74401,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bearish,"{""window"": 12}",30m,2025-07-04,2026-02-12,314,0.293,-1.6747,-0.0924,-0.1018,16.8269,-0.0995,0.9588,-1.6782,-0.004637,-0.002839,13,28,343,472,-216.03,10000.0,9783.970685691313,ok,,38.46,2026-02-24T07:13:08.086925
74402,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bearish,"{""window"": 26}",30m,2025-07-04,2026-02-12,265,0.2755,0.1934,0.0743,0.0801,12.7921,0.0151,1.0067,0.1938,0.00053,0.002216,11,25,309,472,25.01,10000.0,10025.01143912416,ok,,31.53,2026-02-24T07:13:46.547388
74403,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bearish,"{""window"": 31}",30m,2025-07-04,2026-02-12,262,0.2824,1.4787,0.1919,0.2152,12.0459,0.1228,1.0467,1.4818,0.00403,0.005689,10,19,321,472,191.63,10000.0,10191.626620447802,ok,,33.93,2026-02-24T07:14:18.077315
74404,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bearish,"{""window"": 38}",30m,2025-07-04,2026-02-12,249,0.2691,-3.2509,-0.2644,-0.2737,13.8231,-0.2352,0.8949,-3.2577,-0.009073,-0.007514,10,25,343,472,-418.37,10000.0,9581.632410699762,ok,,31.58,2026-02-24T07:14:52.012321
74405,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bullish,"{""window"": 20}",30m,2025-07-04,2026-02-12,79,0.3544,3.6304,0.6894,0.5467,4.6059,0.7882,1.3753,3.6382,0.009791,0.010163,7,10,335,472,471.94,10000.0,10471.93762947719,ok,,28.31,2026-02-24T07:15:23.595210
74406,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bullish,"{""window"": 12}",30m,2025-07-04,2026-02-12,53,0.3774,5.6132,1.0426,0.9883,3.7703,1.4888,2.0114,5.6254,0.014995,0.015352,6,13,194,472,731.76,10000.0,10731.760405774301,ok,,28.59,2026-02-24T07:15:51.900946
74407,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bullish,"{""window"": 17}",30m,2025-07-04,2026-02-12,57,0.4561,7.0438,1.3755,1.0371,3.4704,2.0297,2.2221,7.0593,0.01869,0.018995,6,9,195,472,920.13,10000.0,10920.126702746742,ok,,33.55,2026-02-24T07:16:20.494413
74408,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bullish,"{""window"": 19}",30m,2025-07-04,2026-02-12,73,0.3836,3.7193,0.7318,0.5609,4.0272,0.9235,1.3933,3.7274,0.010027,0.010369,7,9,335,472,483.56,10000.0,10483.562285179967,ok,,35.78,2026-02-24T07:16:54.048476
74409,LINK,bb_lower_breakout,"{""window"": 20, ""window_dev"": 2}",adi_bullish,"{""window"": 22}",30m,2025-07-04,2026-02-12,81,0.3951,4.7263,0.8785,0.5864,4.7495,0.9951,1.4574,4.7366,0.01268,0.013053,6,9,342,472,615.37,10000.0,10615.368403762859,ok,,27.8,2026-02-24T07:17:29.832299
