timestamp,open,high,low,close,volume
2025-12-20 00:00:00+00:00,1.90915,1.9102,1.9016,1.90825,811113.4000000001
2025-12-20 00:15:00+00:00,1.90825,1.9097,1.9047,1.90875,328054.99999999994
2025-12-20 00:30:00+00:00,1.9088,1.90945,1.9044,1.90445,250115.3
2025-12-20 00:45:00+00:00,1.9044,1.9085,1.9015,1.90635,562405.3
2025-12-20 01:00:00+00:00,1.9064,1.9075,1.9033,1.90355,200258.30000000002
2025-12-20 01:15:00+00:00,1.9035,1.9066,1.90205,1.90355,592981.7000000001
2025-12-20 01:30:00+00:00,1.90355,1.9048,1.902,1.90205,175601.4
2025-12-20 01:45:00+00:00,1.90205,1.9049,1.902,1.90265,157617.7
2025-12-20 02:00:00+00:00,1.90265,1.9034,1.8982,1.89905,564299.7
2025-12-20 02:15:00+00:00,1.89905,1.9024,1.897,1.89755,346998.7
2025-12-20 02:30:00+00:00,1.8975,1.9016,1.8937,1.90135,555209.4
2025-12-20 02:45:00+00:00,1.90135,1.9014,1.8969,1.89765,205480.8
2025-12-20 03:00:00+00:00,1.8976,1.8998,1.8953,1.89585,220728.5
2025-12-20 03:15:00+00:00,1.89585,1.90105,1.89565,1.90045,415959.2
2025-12-20 03:30:00+00:00,1.90045,1.9075,1.90045,1.90535,567895.0
2025-12-20 03:45:00+00:00,1.90535,1.90645,1.9039,1.90435,105611.59999999999
2025-12-20 04:00:00+00:00,1.90435,1.9065,1.89925,1.90025,330949.9
2025-12-20 04:15:00+00:00,1.90025,1.9031,1.9001,1.90185,167648.30000000002
2025-12-20 04:30:00+00:00,1.9018,1.9038,1.9015,1.90365,147790.19999999998
2025-12-20 04:45:00+00:00,1.90365,1.9077,1.90305,1.90445,244618.7
2025-12-20 05:00:00+00:00,1.90445,1.9072,1.90445,1.90635,152113.8
2025-12-20 05:15:00+00:00,1.90635,1.91225,1.9063,1.91225,364023.50000000006
2025-12-20 05:30:00+00:00,1.91225,1.9189,1.9108,1.91535,655711.0000000001
2025-12-20 05:45:00+00:00,1.91525,1.9153,1.9129,1.91385,149543.80000000002
2025-12-20 06:00:00+00:00,1.91385,1.9169,1.91315,1.91615,230854.30000000008
2025-12-20 06:15:00+00:00,1.9162,1.9165,1.9147,1.91545,96827.20000000001
2025-12-20 06:30:00+00:00,1.91545,1.9166,1.9145,1.91555,258338.5
2025-12-20 06:45:00+00:00,1.91555,1.9171,1.9139,1.91685,341772.19999999995
2025-12-20 07:00:00+00:00,1.9168,1.9189,1.9091,1.91055,428884.49999999994
2025-12-20 07:15:00+00:00,1.91055,1.9108,1.9068,1.91065,412841.2
2025-12-20 07:30:00+00:00,1.9106,1.9143,1.9092,1.91325,254335.10000000003
2025-12-20 07:45:00+00:00,1.91325,1.9152,1.91315,1.91415,187188.89999999997
2025-12-20 08:00:00+00:00,1.91415,1.9204,1.9141,1.91895,480122.89999999997
2025-12-20 08:15:00+00:00,1.919,1.9286,1.91835,1.92855,645885.1
2025-12-20 08:30:00+00:00,1.9285,1.94,1.928,1.93305,2667849.4000000004
2025-12-20 08:45:00+00:00,1.933,1.9372,1.9282,1.92965,733595.4
2025-12-20 09:00:00+00:00,1.9296,1.9373,1.9295,1.93335,642173.7000000001
2025-12-20 09:15:00+00:00,1.93335,1.9427,1.9321,1.94155,760374.2
2025-12-20 09:30:00+00:00,1.9416,1.9588,1.94155,1.95615,1972067.1
2025-12-20 09:45:00+00:00,1.95615,1.95655,1.9469,1.94915,799781.8
2025-12-20 10:00:00+00:00,1.94915,1.9569,1.94915,1.95235,544320.6
2025-12-20 10:15:00+00:00,1.9524,1.95365,1.9457,1.94675,653495.8
2025-12-20 10:30:00+00:00,1.94675,1.94965,1.9398,1.94875,1269562.0999999999
2025-12-20 10:45:00+00:00,1.9488,1.94955,1.94005,1.94045,478337.20000000007
2025-12-20 11:00:00+00:00,1.94045,1.9425,1.9302,1.93235,1890517.9000000001
2025-12-20 11:15:00+00:00,1.93235,1.94335,1.93135,1.93975,1130740.5999999999
2025-12-20 11:30:00+00:00,1.9398,1.9429,1.93925,1.94245,401212.4
2025-12-20 11:45:00+00:00,1.94245,1.945,1.9412,1.94375,360529.90000000014
2025-12-20 12:00:00+00:00,1.94375,1.948,1.9426,1.94595,404243.60000000003
2025-12-20 12:15:00+00:00,1.946,1.9468,1.9416,1.94235,188277.0
2025-12-20 12:30:00+00:00,1.9424,1.9439,1.93915,1.94155,303560.2
2025-12-20 12:45:00+00:00,1.9415,1.94255,1.9404,1.94095,177732.5
2025-12-20 13:00:00+00:00,1.94095,1.9432,1.92955,1.93065,904217.1
2025-12-20 13:15:00+00:00,1.93065,1.9326,1.9203,1.92095,2545945.5999999996
2025-12-20 13:30:00+00:00,1.92095,1.9293,1.9198,1.92875,1479129.2000000002
2025-12-20 13:45:00+00:00,1.92875,1.93205,1.9279,1.92795,580157.7999999999
2025-12-20 14:00:00+00:00,1.92795,1.9281,1.9204,1.92275,801744.1000000001
2025-12-20 14:15:00+00:00,1.9227,1.925,1.9225,1.92365,379143.39999999997
2025-12-20 14:30:00+00:00,1.9236,1.9256,1.9201,1.92545,441032.70000000007
2025-12-20 14:45:00+00:00,1.92545,1.93,1.9248,1.92885,392212.7
2025-12-20 15:00:00+00:00,1.92885,1.9342,1.92515,1.93385,319410.89999999997
2025-12-20 15:15:00+00:00,1.93385,1.9352,1.9164,1.92095,1476721.0999999999
2025-12-20 15:30:00+00:00,1.92095,1.9242,1.9198,1.92155,528616.0
2025-12-20 15:45:00+00:00,1.92155,1.9231,1.9198,1.92135,510188.6999999999
2025-12-20 16:00:00+00:00,1.92135,1.9266,1.92045,1.92605,577449.2000000001
2025-12-20 16:15:00+00:00,1.9261,1.9291,1.9239,1.92635,909614.7
2025-12-20 16:30:00+00:00,1.92635,1.93,1.9241,1.92565,264019.00000000006
2025-12-20 16:45:00+00:00,1.9257,1.9287,1.9256,1.92865,194440.30000000005
2025-12-20 17:00:00+00:00,1.92865,1.9316,1.9247,1.92655,450302.69999999995
2025-12-20 17:15:00+00:00,1.9266,1.9279,1.92295,1.92295,796026.8
2025-12-20 17:30:00+00:00,1.92295,1.9244,1.92115,1.92295,303228.50000000006
2025-12-20 17:45:00+00:00,1.923,1.9248,1.9229,1.92415,160592.09999999998
2025-12-20 18:00:00+00:00,1.9242,1.9263,1.9194,1.91995,354952.5
2025-12-20 18:15:00+00:00,1.91995,1.9224,1.9198,1.92165,155639.60000000003
2025-12-20 18:30:00+00:00,1.92165,1.923,1.9195,1.92155,334158.00000000006
2025-12-20 18:45:00+00:00,1.92135,1.92605,1.9202,1.92295,186561.30000000002
2025-12-20 19:00:00+00:00,1.923,1.9234,1.9196,1.92255,177598.6
2025-12-20 19:15:00+00:00,1.9225,1.9226,1.92035,1.92165,129804.69999999998
2025-12-20 19:30:00+00:00,1.9217,1.9229,1.92095,1.92155,81231.40000000001
2025-12-20 19:45:00+00:00,1.92155,1.9263,1.9212,1.92505,155992.1
2025-12-20 20:00:00+00:00,1.92505,1.9283,1.92385,1.92675,229025.69999999998
2025-12-20 20:15:00+00:00,1.92675,1.9268,1.925,1.92505,215529.80000000002
2025-12-20 20:30:00+00:00,1.92505,1.9268,1.9238,1.92465,126121.29999999999
2025-12-20 20:45:00+00:00,1.9247,1.9277,1.92435,1.92755,216424.09999999998
2025-12-20 21:00:00+00:00,1.9276,1.93,1.92555,1.92555,210543.7
2025-12-20 21:15:00+00:00,1.92555,1.92865,1.92525,1.92655,146365.0
2025-12-20 21:30:00+00:00,1.92655,1.9309,1.92655,1.9298,197005.6
2025-12-20 21:45:00+00:00,1.92985,1.9317,1.92815,1.93165,168072.6
2025-12-20 22:00:00+00:00,1.9317,1.9346,1.92955,1.93295,156768.7
2025-12-20 22:15:00+00:00,1.93295,1.93295,1.9261,1.93025,236260.69999999995
2025-12-20 22:30:00+00:00,1.9303,1.9338,1.9302,1.93135,177621.1
2025-12-20 22:45:00+00:00,1.93135,1.93785,1.93045,1.93385,228105.4
2025-12-20 23:00:00+00:00,1.9338,1.9358,1.93105,1.93465,256951.80000000002
2025-12-20 23:15:00+00:00,1.93465,1.9367,1.93215,1.93405,93860.90000000001
2025-12-20 23:30:00+00:00,1.93405,1.93465,1.9313,1.93195,132966.10000000003
2025-12-20 23:45:00+00:00,1.93195,1.9343,1.9308,1.93345,117563.6
2025-12-21 00:00:00+00:00,1.9335,1.9374,1.93,1.93055,359672.80000000005
2025-12-21 00:15:00+00:00,1.93055,1.9397,1.9302,1.93615,663209.2
2025-12-21 00:30:00+00:00,1.93615,1.9363,1.93095,1.93395,241881.89999999997
2025-12-21 00:45:00+00:00,1.93395,1.9389,1.93365,1.93875,231405.80000000005
2025-12-21 01:00:00+00:00,1.93875,1.9401,1.9353,1.93635,260484.60000000003
2025-12-21 01:15:00+00:00,1.93635,1.942,1.934,1.94195,524193.3
2025-12-21 01:30:00+00:00,1.9419,1.94195,1.9298,1.93205,836612.9
2025-12-21 01:45:00+00:00,1.93205,1.9339,1.92805,1.92835,397020.0
2025-12-21 02:00:00+00:00,1.92835,1.93445,1.9242,1.9258,587629.6
2025-12-21 02:15:00+00:00,1.9257,1.92575,1.91715,1.92225,876903.9000000001
2025-12-21 02:30:00+00:00,1.92225,1.92555,1.918,1.91975,381709.69999999995
2025-12-21 02:45:00+00:00,1.91975,1.9249,1.9192,1.92475,505728.2999999999
2025-12-21 03:00:00+00:00,1.92475,1.92955,1.9236,1.92835,388444.80000000005
2025-12-21 03:15:00+00:00,1.9284,1.93865,1.9277,1.93425,392581.8
2025-12-21 03:30:00+00:00,1.93425,1.93485,1.9295,1.92955,217792.00000000003
2025-12-21 03:45:00+00:00,1.9295,1.9308,1.9289,1.92965,151989.8
2025-12-21 04:00:00+00:00,1.92965,1.9302,1.92615,1.92725,132567.80000000002
2025-12-21 04:15:00+00:00,1.9272,1.9296,1.927,1.92895,108804.40000000002
2025-12-21 04:30:00+00:00,1.92895,1.9305,1.9259,1.92595,104226.90000000001
2025-12-21 04:45:00+00:00,1.9259,1.926,1.9242,1.92525,76633.8
2025-12-21 05:00:00+00:00,1.9252,1.9268,1.92385,1.92585,140358.5
2025-12-21 05:15:00+00:00,1.92585,1.9279,1.9226,1.92415,375899.4
2025-12-21 05:30:00+00:00,1.92415,1.9242,1.9218,1.92395,297280.5
2025-12-21 05:45:00+00:00,1.92395,1.924,1.922,1.92215,135202.7
2025-12-21 06:00:00+00:00,1.92215,1.9238,1.9215,1.92265,96364.8
2025-12-21 06:15:00+00:00,1.9226,1.92465,1.9201,1.92085,231253.1
